"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.010877779E0,2.454056740E-1,7.086837292E-1,1.023401546E1,1.026145843E1
2.020966477E0,3.220201433E-1,4.513070285E-1,1.009395409E1,1.010916832E1
2.030956326E0,3.076549172E-1,4.632780254E-1,9.963470459E0,9.978978989E0
2.041039751E0,3.016694188E-1,3.292027414E-1,9.744400978E0,9.754626046E0
2.050995463E0,1.975216419E-1,4.513070285E-1,1.000297451E1,1.001509820E1
2.061011319E0,1.580173075E-1,6.859387755E-1,1.038724422E1,1.041106738E1
2.070946247E0,2.106897533E-1,5.805938840E-1,1.015979481E1,1.017855147E1
2.081093211E0,2.573766708E-1,6.440402865E-1,9.916783333E0,9.941007108E0
2.090986693E0,3.495534360E-1,4.692635238E-1,9.765948296E0,9.783462678E0
2.100947934E0,3.064578176E-1,5.746083856E-1,9.773131371E0,9.794804132E0
2.111006055E0,3.950432837E-1,4.716577232E-1,9.874884605E0,9.894031846E0
2.120999615E0,4.752490520E-1,5.518634915E-1,1.001973438E1,1.004616803E1
2.130950395E0,3.292027414E-1,2.873041928E-1,9.872490883E0,9.882155351E0
2.140942285E0,1.927332431E-1,5.494692922E-1,9.575610161E0,9.593298315E0
2.150906230E0,1.508347094E-1,4.692635238E-1,9.660603523E0,9.673170101E0
2.160896703E0,1.041477770E-1,5.865794420E-1,1.004607010E1,1.006371932E1
2.170900439E0,1.209071875E-1,7.158663273E-1,1.007958889E1,1.010570113E1
2.180877307E0,2.849099934E-1,4.381389022E-1,9.609128952E0,9.623330952E0
2.190896241E0,3.052607179E-1,5.303156972E-1,9.981427193E0,1.000016538E1
2.200967708E0,2.956839204E-1,5.315127969E-1,9.926360130E0,9.944976635E0
2.211153442E0,2.549824715E-1,4.309563041E-1,9.823410034E0,9.836164095E0
2.221113809E0,2.070984542E-1,5.063736439E-1,9.739612579E0,9.754965773E0
2.231223492E0,1.999158412E-1,4.237737060E-1,9.672574997E0,9.683917470E0
2.241067834E0,1.101332754E-1,5.015852451E-1,9.834183693E0,9.847582749E0
2.251048005E0,5.386953801E-2,5.973533392E-1,9.998186111E0,1.001615987E1
2.261062090E0,1.580173075E-1,6.117185354E-1,9.657012939E0,9.677658185E0
2.271040133E0,2.082955539E-1,5.877765417E-1,9.858125687E0,9.877829233E0
2.281104154E0,1.675941199E-1,5.243301988E-1,9.695320129E0,9.710934165E0
2.291209165E0,2.274491638E-1,5.494692922E-1,9.617507935E0,9.635876115E0
2.301053170E0,2.430114746E-1,3.758896589E-1,9.695320129E0,9.705646811E0
